game_id,team,uni_id,backbone,belly_button,back_shoulder_blade,belt,pants,number,helmet,socks
2018_12_GB_MIN,GB,2018_GB_A.PNG,#fefefe,#ffffff,#ffffff,#fbbf0d,#fbbf11,#004000,#fbbf11,#004000
2018_12_TEN_HOU,TEN,2018_TEN_C2.PNG,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#fefefe,#001328,#ffffff
2018_13_NO_DAL,NO,2018_NO_D.PNG,#000000,#000000,#000000,#000000,#000000,#e1cc82,#c7be8c,#000000
2018_13_BAL_ATL,BAL,2018_BAL_B.PNG,#ffffff,#ffffff,#fefefe,#000000,#000000,#2a0364,#000000,#000000
2018_13_DEN_CIN,DEN,2018_DEN_A.PNG,#ffffff,#ffffff,#fefefe,#02142c,#ffffff,#ffffff,#03182f,#03182e
2018_13_LA_DET,LA,2018_LAR_A.PNG,#fefefe,#ffffff,#ffffff,#131f3a,#fefefe,#15213d,#071430,#15213c
2018_13_ARI_GB,ARI,2018_ARZ_A.png,#ffffff,#ffffff,#c9596f,#ffffff,#ffffff,#797979,#ffffff,#ad0023
2018_13_CLE_HOU,CLE,2018_CLE_E.PNG,#ffffff,#ffffff,#fefefe,#ff3a00,#ff3d00,#d23500,#ff3d00,#311d00
2018_13_IND_JAX,IND,2018_IND_A.PNG,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#11346a,#ffffff,#12356a
2018_13_BUF_MIA,BUF,2018_BUF_E.PNG,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#00328c,#ffffff,#00338c
2018_13_CHI_NYG,CHI,2018_CHI_C.PNG,#fefefe,#ffffff,#ffffff,#02152c,#03182f,#fefefe,#03182e,#ffffff
2018_13_CAR_TB,CAR,2018_CAR_A.png,#fefefe,#ffffff,#ffffff,#0087d5,#fefefe,#000000,#b5beca,#0087d4
2018_13_NYJ_TEN,NYJ,2018_NYJ_D.PNG,#fefefe,#ffffff,#ffffff,#1f4635,#224838,#214738,#ffffff,#214838
2018_13_KC_OAK,KC,2018_KC_C.PNG,#fefefe,#ffffff,#ffffff,#c90314,#c80417,#c70416,#c80417,#ffffff
2018_13_MIN_NE,MIN,2018_MIN_B.PNG,#fefefe,#ffffff,#ffffff,#391e84,#3c2185,#3c2084,#58386c,#351d77
2018_13_SF_SEA,SF,2018_SF_A.PNG,#fefefe,#ffffff,#ffffff,#d2ad7c,#d1ad7d,#ba0814,#bf9e79,#bb0915
2018_13_LAC_PIT,LAC,2018_LAC_B2.PNG,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#15457a,#ffffff,#02172e
2018_13_WAS_PHI,WAS,2018_WAS_B.gif,#fefefe,#ffffff,#ffffff,#7f0000,#800000,#800000,#800000,#ffffff
2018_14_JAX_TEN,JAX,2018_JAX_A2.PNG,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#1e1e1e,#000000,#ffffff
2018_14_NYJ_BUF,NYJ,2018_NYJ_A.PNG,#fefefe,#ffffff,#ffffff,#1f4635,#fefefe,#214738,#ffffff,#ffffff
2018_14_CAR_CLE,CAR,2018_CAR_P.png,#000000,#000000,#000000,#0087d5,#000000,#fefefe,#b5beca,#000000
2018_14_ATL_GB,ATL,2018_ATL_A.PNG,#ffffff,#ffffff,#fefefe,#ffffff,#ffffff,#000000,#000000,#000000
2018_14_IND_HOU,IND,2018_IND_A.PNG,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#11346a,#ffffff,#12356a
2018_14_BAL_KC,BAL,2018_BAL_D2.PNG,#ffffff,#ffffff,#fefefe,#270263,#2a0365,#2a0364,#000000,#000000
2018_14_NE_MIA,NE,2018_NE_A.PNG,#fefefe,#ffffff,#ffffff,#02152c,#03182f,#03182f,#b6bec8,#ffffff
2018_14_NO_TB,NO,2018_NO_B.PNG,#fefefe,#ffffff,#ffffff,#000000,#000000,#000000,#c7be8c,#000000
